"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"資本的支出"	"34"	"2400"	"0"	"0"	"1年以上前"
"2"	"資本的支出とは"	"34"	"1600"	"0.18"	"0"	"1年以上前"
"3"	"資本的支出フローチャート"	"23"	"1300"	"0"	"0"	"1年以上前"
"4"	"修繕費資本的支出"	"37"	"1000"	"0.02"	"0"	"1年以上前"
"5"	"資本的支出耐用年数"	"40"	"590"	"0"	"0"	"1年以上前"
"6"	"資本的支出 収益的支出"	"25"	"590"	"0"	"0"	"1年以上前"
"7"	"修繕費と資本的支出 フローチャート"	"31"	"480"	"0"	"0"	"1年以上前"
"8"	"修繕費 資本的支出 フローチャート 国税庁"	"39"	"390"	"0"	"0"	"1年以上前"
"9"	"資本的支出と修繕費 フローチャート"	"34"	"390"	"0"	"0"	"1年以上前"
"10"	"資本的支出修繕費"	"36"	"390"	"0"	"0"	"1年以上前"
"11"	"資本的支出 修繕費 フローチャート"	"34"	"390"	"0"	"0"	"1年以上前"
"12"	"修繕費資本的支出フローチャート"	"35"	"390"	"0"	"0"	"1年以上前"
"13"	"資本的支出修繕費フローチャート 国税庁"	"43"	"390"	"0"	"0"	"1年以上前"
"14"	"資本的支出 減価償却"	"38"	"320"	"0"	"0"	"1年以上前"
"15"	"修繕費と資本的支出"	"null"	"260"	"0"	"1"	"1年以上前"
"16"	"資本的支出フローチャート国税庁"	"42"	"260"	"0"	"0"	"1年以上前"
"17"	"資本的支出と修繕費"	"34"	"260"	"0.17"	"1"	"1年以上前"
"18"	"資本的支出 勘定科目"	"null"	"170"	"0"	"0"	"1年以上前"
"19"	"資本的支出 減価償却 計算例"	"null"	"140"	"0"	"0"	"1年以上前"
"20"	"資本的支出 20万円未満"	"null"	"140"	"0"	"0"	"1年以上前"
"21"	"中古資産 資本的支出 耐用年数"	"null"	"140"	"0"	"0"	"1年以上前"
"22"	"資本的支出 ソフトウェア"	"24"	"110"	"0"	"0"	"1年以上前"
"23"	"資本的支出 仕訳"	"null"	"110"	"0"	"0"	"1年以上前"
"24"	"修繕 資本的支出"	"null"	"90"	"0"	"0"	"1年以上前"
"25"	"ソフトウェア 資本的支出"	"null"	"90"	"0"	"3"	"1年以上前"
"26"	"資本的支出 少額減価償却資産"	"null"	"90"	"0"	"0"	"1年以上前"
"27"	"資本的支出修繕費事例"	"null"	"70"	"0"	"0"	"1年以上前"
"28"	"固定資産 資本的支出"	"null"	"70"	"0"	"0"	"1年以上前"
"29"	"資本的支出 収益的支出 覚え方"	"null"	"70"	"0"	"2"	"1年以上前"
"30"	"主要部品交換 資本的支出"	"23"	"70"	"0"	"0"	"1年以上前"
"31"	"中古資産 資本的支出"	"null"	"70"	"0"	"0"	"1年以上前"
"32"	"外壁塗装 資本的支出"	"26"	"50"	"0"	"0"	"1年以上前"
"33"	"資本的支出 耐用年数 中古資産"	"null"	"50"	"0"	"0"	"1年以上前"
"34"	"資本的支出 耐用年数 延長 計算"	"null"	"50"	"0"	"0"	"1年以上前"
"35"	"収益 的 支出 資本 的 支出"	"null"	"50"	"0"	"0"	"半年以内"
"36"	"資本的支出とは わかりやすく"	"null"	"50"	"0"	"0"	"1年以上前"
"37"	"資本的支出 仕訳例"	"null"	"50"	"0"	"1"	"1年以上前"
"38"	"リース資産 資本的支出"	"null"	"50"	"0"	"0"	"1年以上前"
"39"	"資本的支出 一括償却資産"	"null"	"50"	"0"	"0"	"1年以上前"
"40"	"修繕費か資本的支出か"	"null"	"50"	"0"	"0"	"1年以上前"
"41"	"修繕 資本的支出 フローチャート"	"null"	"40"	"0"	"0"	"1年以上前"
"42"	"資本的支出 20万円未満 一括償却資産"	"null"	"40"	"0"	"0"	"1年以上前"
"43"	"一括償却資産 資本的支出"	"null"	"40"	"0"	"0"	"1年以上前"
"44"	"資本的支出 国税庁"	"null"	"40"	"0"	"0"	"1年以上前"
"45"	"オーバーホール 資本的支出"	"null"	"40"	"0"	"0"	"1年以上前"
"46"	"建物 資本的支出 耐用年数"	"null"	"40"	"0"	"0"	"1年以内"
"47"	"資本的支出修繕費違い"	"null"	"40"	"0"	"0"	"1年以上前"
"48"	"修繕費 資本的支出 違い"	"null"	"40"	"0"	"1"	"1年以上前"
"49"	"資本的支出と収益的支出"	"null"	"40"	"0"	"0"	"1年以上前"
"50"	"居住用賃貸建物 資本的支出"	"null"	"40"	"0"	"0"	"1年以上前"
"51"	"led 資本的支出"	"null"	"40"	"0"	"1"	"1年以上前"
"52"	"led化 資本的支出"	"null"	"40"	"0"	"2"	"1年以上前"
"53"	"修繕費 資本的支出 判断"	"null"	"40"	"0"	"0"	"1年以上前"
"54"	"資本的支出 償却方法"	"null"	"40"	"0"	"0"	"1年以上前"
"55"	"資本的支出と修繕費の区分の特例"	"null"	"40"	"0"	"0"	"1年以上前"
"56"	"移設工事 資本的支出"	"null"	"40"	"0"	"0"	"1年以上前"
"57"	"資本的支出 英語"	"null"	"30"	"0"	"0"	"1年以上前"
