"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"少額減価償却資産"	"39"	"8100"	"0.18"	"5"	"1年以上前"
"2"	"少額減価償却資産特例"	"39"	"4400"	"0.21"	"9"	"1年以上前"
"3"	"少額減価償却資産の特例"	"33"	"4400"	"0.17"	"9"	"1年以上前"
"4"	"少額減価償却資産 仕分け"	"43"	"880"	"0.14"	"8"	"1年以内"
"5"	"少額減価償却資産の特例個人事業主書き方"	"33"	"720"	"0.48"	"7"	"1年以上前"
"6"	"少額減価償却資産個人事業主"	"33"	"720"	"0.39"	"8"	"1年以上前"
"7"	"少額減価償却資産仕訳"	"43"	"720"	"0.13"	"12"	"1年以上前"
"8"	"一括償却資産 少額減価償却資産"	"39"	"480"	"0.27"	"1"	"1年以上前"
"9"	"少額減価償却資産の特例 いつまで"	"27"	"480"	"0.08"	"2"	"1年以上前"
"10"	"少額減価償却資産 一括償却資産"	"37"	"480"	"0.04"	"2"	"1年以上前"
"11"	"少額減価償却資産の特例個人事業主"	"33"	"390"	"0.53"	"9"	"1年以上前"
"12"	"少額減価償却資産 40万円 いつから"	"37"	"390"	"0"	"0"	"半年以内"
"13"	"30万円未満 少額減価償却資産"	"34"	"320"	"0.24"	"5"	"1年以上前"
"14"	"少額減価償却資産とは"	"38"	"320"	"0.04"	"2"	"1年以上前"
"15"	"少額減価償却資産の特例 40万円"	"40"	"320"	"0"	"0"	"半年以内"
"16"	"30万円未満の少額減価償却資産"	"35"	"320"	"0.09"	"2"	"1年以内"
"17"	"少額減価償却資産 300万円"	"25"	"260"	"0.9"	"3"	"1年以上前"
"18"	"少額減価償却資産 償却資産税"	"32"	"260"	"0"	"0"	"1年以上前"
"19"	"少額減価償却資産の取得価額に関する明細書"	"null"	"210"	"0"	"1"	"1年以上前"
"20"	"少額減価償却資産 10万円"	"25"	"210"	"0"	"1"	"1年以上前"
"21"	"個人事業主少額減価償却資産の特例"	"29"	"170"	"0.33"	"9"	"1年以上前"
"22"	"少額減価償却資産 明細書 書き方"	"null"	"170"	"0"	"1"	"1年以上前"
"23"	"少額減価償却資産の特例仕訳"	"null"	"140"	"0.28"	"5"	"1年以上前"
"24"	"少額減価償却資産の特例 仕分け"	"null"	"140"	"0.28"	"5"	"1年以上前"
"25"	"少額減価償却資産 仕訳消耗品費"	"null"	"110"	"0"	"0"	"1年以上前"
"26"	"中小企業 少額減価償却資産"	"null"	"110"	"0"	"2"	"1年以上前"
"27"	"少額減価償却資産 勘定科目"	"null"	"110"	"0"	"0"	"1年以上前"
"28"	"少額減価償却資産 中小企業"	"null"	"110"	"0.1"	"4"	"1年以上前"
"29"	"ソフトウェア 少額減価償却資産"	"null"	"90"	"0"	"0"	"1年以上前"
"30"	"freee 少額減価償却資産"	"null"	"90"	"0"	"0"	"1年以上前"
"31"	"資本的支出 少額減価償却資産"	"null"	"90"	"0"	"0"	"1年以上前"
"32"	"少額減価償却資産の取得価額の損金算入の特例に関する明細書"	"null"	"70"	"0"	"1"	"1年以上前"
"33"	"少額減価償却資産 別表"	"null"	"70"	"0"	"0"	"1年以上前"
"34"	"少額減価償却資産 freee"	"null"	"70"	"0"	"0"	"1年以上前"
"35"	"青色申告 少額減価償却資産"	"null"	"70"	"0.13"	"10"	"1年以上前"
"36"	"償却資産税 少額減価償却資産"	"null"	"70"	"0"	"0"	"1年以上前"
"37"	"少額減価償却資産 固定資産税"	"null"	"70"	"0"	"0"	"1年以上前"
"38"	"少額減価償却資産 所得税"	"null"	"70"	"0"	"0"	"1年以上前"
"39"	"少額減価償却資産の特例 freee"	"null"	"70"	"0"	"0"	"1年以上前"
"40"	"パソコン 少額減価償却資産"	"null"	"50"	"0.08"	"6"	"1年以上前"
"41"	"少額減価償却資産 消費税"	"null"	"50"	"0"	"0"	"1年以上前"
"42"	"少額減価償却資産 40万円"	"null"	"50"	"2.85"	"1"	"過去90日"
"43"	"少額減価償却資産 固定資産台帳"	"null"	"50"	"0"	"2"	"1年以上前"
"44"	"少額減価償却資産 要件"	"null"	"50"	"0"	"2"	"1年以上前"
"45"	"少額減価償却資産 いつまで"	"null"	"50"	"0"	"1"	"1年以上前"
"46"	"圧縮記帳 少額減価償却資産"	"null"	"50"	"0"	"0"	"1年以上前"
"47"	"少額減価償却資産 償却資産申告書 書き方"	"null"	"50"	"0"	"0"	"1年以上前"
"48"	"少額減価償却資産とは わかりやすく"	"null"	"50"	"0"	"1"	"1年以上前"
"49"	"少額減価償却資産 ソフトウェア"	"null"	"50"	"0"	"1"	"1年以上前"
"50"	"少額減価償却資産 上限"	"null"	"50"	"0"	"1"	"1年以上前"
"51"	"少額減価償却資産 改正"	"27"	"50"	"0"	"1"	"1年以上前"
"52"	"freee 少額減価償却資産の特例"	"null"	"50"	"0"	"0"	"1年以上前"
"53"	"少額減価償却資産の特例 パソコン"	"null"	"50"	"0"	"2"	"1年以上前"
"54"	"少額減価償却資産の特例償却資産税"	"null"	"50"	"0"	"0"	"1年以上前"
"55"	"少額減価償却資産 30万円"	"null"	"50"	"0.16"	"4"	"1年以内"
"56"	"少額減価償却資産の特例個人事業主いつまで"	"33"	"40"	"0"	"4"	"1年以上前"
"57"	"個人 少額減価償却資産"	"null"	"40"	"0.09"	"2"	"1年以上前"
"58"	"マネーフォワード 少額減価償却資産"	"null"	"40"	"0"	"0"	"1年以上前"
"59"	"少額減価償却資産の特例 延長"	"null"	"40"	"0"	"0"	"1年以上前"
"60"	"少額減価償却資産 税込"	"null"	"40"	"0"	"2"	"1年以上前"
"61"	"少額減価償却資産 限度額"	"null"	"40"	"0"	"0"	"1年以上前"
"62"	"少額減価償却資産 償却資産税 対象"	"null"	"40"	"0"	"1"	"1年以上前"
"63"	"少額減価償却資産の取得価額の損金算入の特例"	"null"	"40"	"0"	"3"	"1年以上前"
"64"	"少額減価償却資産 いくらまで"	"39"	"40"	"0"	"4"	"1年以上前"
"65"	"少額減価償却資産 税抜き"	"null"	"40"	"0"	"0"	"1年以内"
"66"	"中小企業の少額減価償却資産の特例"	"null"	"30"	"0"	"5"	"1年以上前"
"67"	"少額減価償却資産 白色申告"	"null"	"30"	"0"	"2"	"1年以上前"
"68"	"30万円未満 少額減価償却資産修繕費"	"null"	"30"	"0"	"0"	"1年以上前"
"69"	"少額減価償却資産 無形固定資産"	"null"	"30"	"0"	"1"	"1年以上前"
"70"	"弥生会計 少額減価償却資産"	"null"	"30"	"0"	"0"	"1年以上前"
"71"	"少額減価償却資産 科目"	"null"	"30"	"0"	"2"	"1年以内"
"72"	"少額減価償却資産 適用額明細書"	"null"	"30"	"0"	"0"	"1年以上前"
"73"	"少額減価償却資産 金額"	"null"	"30"	"0"	"0"	"1年以上前"
"74"	"少額減価償却資産 措置法"	"null"	"30"	"0"	"0"	"1年以上前"
"75"	"少額減価償却資産の特例 改正"	"null"	"30"	"0"	"0"	"1年以上前"
"76"	"適用額明細書 少額減価償却資産"	"null"	"30"	"0"	"0"	"1年以上前"
"77"	"少額減価償却資産 法人"	"null"	"30"	"0"	"0"	"1年以上前"
"78"	"少額減価償却資産 別表添付漏れ"	"null"	"30"	"0"	"0"	"1年以上前"
"79"	"30万円未満 少額減価償却資産 仕訳"	"null"	"30"	"0"	"8"	"1年以上前"
"80"	"少額減価償却資産 措置法28の2"	"null"	"30"	"0"	"1"	"1年以上前"
"81"	"少額減価償却資産 別表16の7 記載例"	"null"	"30"	"0"	"0"	"1年以上前"
"82"	"一括償却資産と少額減価償却資産の違い"	"26"	"30"	"0"	"2"	"1年以内"
"83"	"少額減価償却資産の特例 勘定科目"	"null"	"30"	"0"	"1"	"1年以上前"
"84"	"少額減価償却資産 個人"	"null"	"30"	"0"	"1"	"1年以上前"
"85"	"少額減価償却資産 一括償却資産 違い"	"37"	"30"	"0"	"8"	"1年以上前"
"86"	"少額減価償却資産 明細書"	"null"	"30"	"0"	"1"	"1年以上前"
"87"	"少額減価償却資産の特例 マネーフォワード"	"null"	"30"	"0"	"0"	"1年以上前"
"88"	"少額減価償却資産 耐用年数"	"null"	"30"	"0"	"0"	"1年以上前"
"89"	"一括償却資産 少額減価償却資産 違い"	"null"	"30"	"0"	"8"	"1年以上前"
"90"	"少額減価償却資産の特例 建物付属設備"	"null"	"30"	"0"	"0"	"1年以上前"
"91"	"白色申告 少額減価償却資産"	"null"	"30"	"0"	"2"	"1年以上前"
"92"	"少額減価償却資産 仕訳 法人"	"null"	"30"	"0"	"0"	"1年以上前"
"93"	"タイヤ 少額減価償却資産"	"null"	"30"	"0"	"1"	"1年以上前"
"94"	"30万円 少額減価償却資産"	"null"	"30"	"0"	"4"	"1年以内"
"95"	"少額減価償却資産 売却 仕訳"	"null"	"30"	"0"	"0"	"1年以上前"
"96"	"少額減価償却資産 資本的支出"	"null"	"30"	"0"	"1"	"1年以上前"
"97"	"freee 少額減価償却資産 登録"	"null"	"30"	"0"	"0"	"半年以内"
"98"	"少額減価償却資産 会計処理"	"null"	"20"	"0"	"1"	"1年以上前"
"99"	"少額減価償却資産 減価償却費"	"null"	"20"	"0"	"2"	"1年以上前"
"100"	"少額減価償却資産 申告"	"null"	"20"	"0"	"2"	"1年以上前"
"101"	"少額減価償却資産 資本金"	"null"	"20"	"0"	"0"	"1年以上前"
"102"	"少額減価償却資産 固定資産台帳 翌年"	"null"	"20"	"0"	"0"	"1年以上前"
"103"	"少額減価償却資産 中古"	"null"	"20"	"0"	"0"	"1年以上前"
"104"	"少額減価償却資産 やよいの青色申告"	"null"	"20"	"0"	"0"	"1年以上前"
"105"	"個人事業 少額減価償却資産"	"null"	"20"	"0.21"	"4"	"1年以上前"
"106"	"少額減価償却資産 条件"	"null"	"20"	"0"	"4"	"1年以上前"
