"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"耐用年数"	"46"	"8100"	"0"	"0"	"1年以上前"
"2"	"エアコンの耐用年数"	"27"	"5400"	"0.43"	"1"	"1年以内"
"3"	"減価償却耐用年数"	"46"	"5400"	"0.35"	"1"	"1年以上前"
"4"	"耐用年数と減価償却"	"51"	"5400"	"0.35"	"1"	"1年以上前"
"5"	"エアコン耐用年数"	"29"	"5400"	"0.32"	"2"	"1年以上前"
"6"	"減価償却と耐用年数"	"47"	"5400"	"0.35"	"1"	"1年以上前"
"7"	"法廷 耐用年数"	"null"	"5400"	"0.57"	"0"	"過去90日"
"8"	"減価償却の耐用年数"	"44"	"5400"	"0.35"	"1"	"1年以上前"
"9"	"耐用年数エアコン"	"26"	"5400"	"0.32"	"2"	"1年以上前"
"10"	"法定耐用年数"	"47"	"5400"	"0.94"	"0"	"1年以上前"
"11"	"耐用年数 減価償却"	"49"	"5400"	"0.35"	"1"	"1年以上前"
"12"	"減価償却とは 耐用年数"	"48"	"5400"	"0.35"	"1"	"1年以上前"
"13"	"耐用年数 鉄骨造"	"29"	"4400"	"0.24"	"5"	"1年以上前"
"14"	"住宅 木造 耐用年数"	"30"	"4400"	"0.26"	"8"	"1年以上前"
"15"	"木造 耐用年数 住宅"	"29"	"4400"	"0.26"	"8"	"1年以内"
"16"	"木造住宅の耐用年数"	"31"	"4400"	"0.36"	"7"	"1年以上前"
"17"	"軽量鉄骨耐用年数"	"43"	"4400"	"0.89"	"6"	"1年以上前"
"18"	"耐用年数 軽量鉄骨"	"27"	"4400"	"0.48"	"5"	"1年以上前"
"19"	"耐用年数 木造住宅"	"34"	"4400"	"1.2"	"8"	"1年以上前"
"20"	"木造住宅耐用年数"	"35"	"4400"	"1.44"	"7"	"1年以上前"
"21"	"軽量鉄骨の耐用年数"	"34"	"4400"	"0.89"	"6"	"1年以上前"
"22"	"建物の耐用年数"	"33"	"3600"	"1.38"	"1"	"1年以上前"
"23"	"耐用年数 パソコン"	"40"	"3600"	"0.14"	"1"	"1年以上前"
"24"	"耐用年数とは建物"	"27"	"3600"	"1.38"	"1"	"1年以上前"
"25"	"耐用年数表"	"42"	"3600"	"0"	"0"	"1年以上前"
"26"	"鉄筋コンクリートの耐用年数"	"31"	"3600"	"0.59"	"3"	"1年以上前"
"27"	"鉄筋コンクリート耐用年数"	"27"	"3600"	"2.72"	"3"	"1年以上前"
"28"	"鉄骨造耐用年数"	"30"	"3600"	"3.31"	"4"	"1年以上前"
"29"	"パソコン耐用年数"	"33"	"3600"	"0.42"	"2"	"1年以上前"
"30"	"耐用年数 鉄筋コンクリート"	"37"	"3600"	"1.06"	"3"	"1年以上前"
"31"	"鉄骨造の耐用年数"	"28"	"3600"	"2.96"	"4"	"1年以上前"
"32"	"ヘルメット耐用年数"	"34"	"2900"	"0.56"	"1"	"1年以上前"
"33"	"建物耐用年数"	"44"	"2900"	"1.42"	"0"	"1年以上前"
"34"	"耐用年数とは"	"52"	"2900"	"0.47"	"0"	"1年以上前"
"35"	"耐用年数木造"	"28"	"2900"	"0.82"	"2"	"1年以上前"
"36"	"木造耐用年数"	"36"	"2900"	"0.52"	"2"	"1年以上前"
"37"	"木造の耐用年数"	"27"	"2900"	"0.55"	"2"	"1年以上前"
"38"	"耐用年数 ヘルメット"	"30"	"2900"	"0.04"	"1"	"1年以上前"
"39"	"マンションの耐用年数"	"30"	"2900"	"0.33"	"23"	"1年以上前"
"40"	"ヘルメットの耐用年数"	"27"	"2900"	"0.2"	"1"	"1年以上前"
"41"	"中古資産耐用年数"	"26"	"2400"	"0"	"0"	"1年以上前"
"42"	"耐用年数 冷蔵庫"	"26"	"2400"	"0.05"	"3"	"1年以上前"
"43"	"冷蔵庫の耐用年数"	"29"	"2400"	"0.05"	"3"	"1年以上前"
"44"	"耐用年数マンション"	"36"	"2400"	"0.68"	"18"	"1年以上前"
"45"	"中古資産の耐用年数"	"24"	"2400"	"0.29"	"0"	"1年以上前"
"46"	"冷蔵庫耐用年数"	"30"	"2400"	"0.05"	"3"	"1年以上前"
